NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_YEARS,EMPLOYED_YEARS,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TO_INCOME
0,1,1,1,0,270000.0,1031053.5,34204.5,783000.0,6,1,1,1,1,0.006233,-2549.0,-331,1,1,0,1,0,0,8,2.0,2,2,4,10,0,0,0,0,0,0,5,0.5664555614792242,0.4776491548517548,5.0,2.0,5.0,2.0,-1457.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,3.0,46,1,3.818702523323988,0.1266828641375402,3.818702523323988
0,0,0,0,1,157500.0,450000.0,42075.0,450000.0,6,1,1,2,1,0.010147,-10275.0,-3625,1,1,1,1,1,0,0,2.0,2,2,0,16,0,0,0,0,0,0,5,0.6167044926577011,0.5352762504724826,2.0,0.0,1.0,0.0,-993.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,32,0,2.8571247166684657,0.2671411610085015,2.8571247166684657
0,0,0,0,0,112500.0,195543.0,13198.5,148500.0,6,7,4,3,1,0.025164,-2986.0,-5106,1,1,0,1,0,1,1,1.0,2,2,2,8,0,0,0,0,0,0,7,0.2537027169222681,0.5352762504724826,6.0,0.0,6.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,41,1,1.7381445498262238,0.1173189571648252,1.7381445498262238
0,0,0,1,0,99000.0,229500.0,14796.0,229500.0,6,3,4,1,1,0.028663,-1638.0,-4163,1,0,0,1,0,1,18,2.0,2,2,5,10,0,0,0,0,0,0,57,0.1076471223032718,0.1082263226697141,3.0,1.0,3.0,0.0,-1134.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.0,59,0,2.318158402440379,0.1494530358279209,2.318158402440379
0,1,1,1,0,405000.0,450000.0,30442.5,450000.0,6,7,4,1,1,0.028663,-4107.0,-2875,1,1,0,1,0,0,8,2.0,2,2,2,14,0,0,0,1,1,1,55,0.2637121590663828,0.1575949986663102,6.0,1.0,6.0,1.0,-298.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,29,2,1.1111083676336602,0.0751664810704171,1.1111083676336602
0,0,0,1,0,99000.0,684000.0,20128.5,684000.0,6,1,4,1,1,0.026392,-1842.0,-4277,1,1,0,1,0,0,3,2.0,2,2,4,16,0,0,0,0,0,0,28,0.6897054999193545,0.7001838506835805,0.0,0.0,0.0,0.0,-1589.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,1.0,42,5,6.909021120998778,0.2033161281199179,6.909021120998778
0,0,1,1,0,108000.0,288873.0,16258.5,238500.0,1,7,4,1,1,0.006207,-6581.0,-2831,1,1,0,1,0,0,3,2.0,2,2,3,11,0,0,0,0,0,0,20,0.3605827703387404,0.6642482627052363,0.0,0.0,0.0,0.0,-1176.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,53,0,2.674725234025611,0.1505402727752521,2.674725234025611
0,0,1,0,1,112500.0,727785.0,23476.5,607500.0,6,4,4,0,1,0.0228,-3703.0,-5222,1,1,0,1,0,0,2,3.0,2,2,6,13,0,0,0,0,1,1,28,0.1291535289656303,0.5352762504724826,4.0,0.0,4.0,0.0,-1152.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,34,4,6.469142496511142,0.2086781450831548,6.469142496511142
0,0,0,0,1,135000.0,256500.0,13027.5,256500.0,6,7,4,0,1,0.018209,-1752.0,-4154,1,1,1,1,0,0,8,3.0,3,3,6,14,0,0,0,0,1,1,5,0.3217258077364456,0.6178261467332483,0.0,0.0,0.0,0.0,-1622.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,38,5,1.8999859260301772,0.09649928519048,1.8999859260301772
0,1,1,0,0,607500.0,2466954.0,70830.0,2205000.0,1,1,4,1,1,0.0060079999999999,-2253.0,-3031,1,1,0,1,0,0,8,2.0,2,2,1,14,0,0,0,0,0,0,5,0.5952806612023652,0.1566398270314114,0.0,0.0,0.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,61,12,4.060822945147415,0.1165924006709454,4.060822945147415
